ts_code	trade_date	open	high	low	close	pre_close	change	pct_chg	vol	amount
000584.SZ	20241126	3.43	3.48	3.34	3.48	3.31	0.17	5.136	133018.36	45867.198
000584.SZ	20241125	3.15	3.31	3.15	3.31	3.15	0.16	5.0794	278832.62	90570.632
000584.SZ	20241122	3.14	3.25	3.14	3.15	3.14	0.01	0.3185	253022.0	80531.766
000584.SZ	20241121	3.23	3.25	3.14	3.14	3.3	-0.16	-4.8485	325583.72	103021.825
000584.SZ	20241120	3.04	3.36	3.04	3.3	3.2	0.1	3.125	504467.93	162879.061
000584.SZ	20241119	3.2	3.2	3.2	3.2	3.37	-0.17	-5.0445	65439.0	20940.48
000584.SZ	20241118	3.45	3.53	3.37	3.37	3.55	-0.18	-5.0704	233778.5	79430.834
000584.SZ	20241115	3.55	3.79	3.55	3.55	3.74	-0.19	-5.0802	575176.18	206776.616
000584.SZ	20241114	3.78	3.83	3.65	3.74	3.65	0.09	2.4658	538340.58	203326.825
000584.SZ	20241113	3.55	3.65	3.39	3.65	3.48	0.17	4.8851	500865.07	178854.509
000584.SZ	20241112	3.48	3.48	3.31	3.48	3.31	0.17	5.136	351012.1	121378.995
000584.SZ	20241111	3.16	3.31	3.15	3.31	3.15	0.16	5.0794	197903.63	64867.105
000584.SZ	20241108	3.25	3.26	3.08	3.15	3.24	-0.09	-2.7778	465882.81	147340.225
000584.SZ	20241107	3.1	3.26	3.0	3.24	3.1	0.14	4.5161	720107.89	229727.602
000584.SZ	20241106	3.1	3.1	3.1	3.1	2.95	0.15	5.0847	20466.31	6344.556
000584.SZ	20241105	2.94	2.95	2.86	2.95	2.81	0.14	4.9822	108148.52	31790.238
000584.SZ	20241104	2.78	2.81	2.72	2.81	2.68	0.13	4.8507	247757.03	69288.66
000584.SZ	20241101	2.95	2.95	2.67	2.68	2.81	-0.13	-4.6263	847959.07	239379.934
000584.SZ	20241031	2.81	2.81	2.81	2.81	2.68	0.13	4.8507	22754.75	6394.085
000584.SZ	20241030	2.68	2.68	2.68	2.68	2.55	0.13	5.098	12908.52	3459.483
000584.SZ	20241029	2.55	2.55	2.55	2.55	2.43	0.12	4.9383	18634.0	4751.67
000584.SZ	20241028	2.39	2.43	2.36	2.43	2.31	0.12	5.1948	118410.28	28524.897
000584.SZ	20241025	2.17	2.31	2.13	2.31	2.2	0.11	5.0	318471.07	72027.364
000584.SZ	20241024	2.2	2.22	2.13	2.2	2.11	0.09	4.2654	419498.97	91834.132
000584.SZ	20241023	2.01	2.11	2.01	2.11	2.01	0.1	4.9751	162790.02	34067.46
000584.SZ	20241022	1.96	2.04	1.96	2.01	2.0	0.01	0.5	163115.44	32564.406
000584.SZ	20241021	1.99	2.04	1.92	2.0	1.95	0.05	2.5641	256603.68	51160.74
000584.SZ	20241018	1.9	2.01	1.89	1.95	1.92	0.03	1.5625	347264.15	68064.429
000584.SZ	20241017	1.81	1.92	1.77	1.92	1.83	0.09	4.918	408350.02	76317.453
000584.SZ	20241016	1.89	1.93	1.8	1.83	1.89	-0.06	-3.1746	323408.81	59688.955
000584.SZ	20241015	1.92	1.95	1.87	1.89	1.95	-0.06	-3.0769	306960.83	58330.094
000584.SZ	20241014	2.0	2.04	1.92	1.95	2.01	-0.06	-2.9851	298281.57	59089.217
000584.SZ	20241011	1.94	2.01	1.91	2.01	1.91	0.1	5.2356	252523.17	50258.814
000584.SZ	20241010	1.92	1.99	1.89	1.91	1.99	-0.08	-4.0201	243934.94	46886.464
000584.SZ	20241009	2.03	2.04	1.99	1.99	2.09	-0.1	-4.7847	216638.0	43307.169
000584.SZ	20241008	2.19	2.21	2.06	2.09	2.1	-0.01	-0.4762	520243.56	110094.34
000584.SZ	20240930	2.02	2.16	1.97	2.1	2.07	0.03	1.4493	562010.2	114588.554
000584.SZ	20240927	2.14	2.2	2.06	2.07	2.17	-0.1	-4.6083	502078.42	105380.744
000584.SZ	20240926	2.19	2.22	2.11	2.17	2.21	-0.04	-1.81	245884.41	53289.111
