ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600387.SH,20241210,3.51,3.58,3.44,3.45,3.5,-0.05,-1.4286,96516.0,33703.196
600387.SH,20241209,3.46,3.54,3.42,3.5,3.45,0.05,1.4493,101536.52,35258.458
600387.SH,20241206,3.3,3.45,3.29,3.45,3.29,0.16,4.8632,121842.1,41598.206
600387.SH,20241205,3.28,3.33,3.26,3.29,3.29,0.0,0.0,41480.0,13659.304
600387.SH,20241204,3.25,3.37,3.23,3.29,3.27,0.02,0.6116,52745.0,17529.975
600387.SH,20241203,3.3,3.3,3.23,3.27,3.27,0.0,0.0,36625.55,11931.843
600387.SH,20241202,3.16,3.28,3.15,3.27,3.16,0.11,3.481,54051.0,17434.145
600387.SH,20241129,3.14,3.17,3.09,3.16,3.16,0.0,0.0,37433.0,11747.695
600387.SH,20241128,3.12,3.2,3.12,3.16,3.15,0.01,0.3175,43600.01,13823.132
600387.SH,20241127,3.2,3.2,3.05,3.15,3.21,-0.06,-1.8692,58742.0,18212.356
600387.SH,20241126,3.25,3.29,3.19,3.21,3.27,-0.06,-1.8349,41406.0,13386.655
600387.SH,20241125,3.21,3.29,3.12,3.27,3.26,0.01,0.3067,46464.01,14899.912
600387.SH,20241122,3.32,3.37,3.26,3.26,3.31,-0.05,-1.5106,53013.01,17590.25
600387.SH,20241121,3.33,3.34,3.28,3.31,3.33,-0.02,-0.6006,44607.0,14752.868
600387.SH,20241120,3.3,3.41,3.27,3.33,3.3,0.03,0.9091,55109.0,18435.801
600387.SH,20241119,3.3,3.31,3.18,3.3,3.28,0.02,0.6098,55316.0,17976.487
600387.SH,20241118,3.29,3.38,3.2,3.28,3.3,-0.02,-0.6061,79297.01,26212.548
600387.SH,20241115,3.4,3.45,3.29,3.3,3.4,-0.1,-2.9412,67773.0,22768.417
600387.SH,20241114,3.38,3.49,3.33,3.4,3.38,0.02,0.5917,79583.0,27271.762
600387.SH,20241113,3.4,3.47,3.28,3.38,3.45,-0.07,-2.029,81386.0,27315.093
600387.SH,20241112,3.55,3.69,3.43,3.45,3.52,-0.07,-1.9886,158832.0,56472.095
600387.SH,20241111,3.32,3.52,3.29,3.52,3.35,0.17,5.0746,91887.64,31651.95
600387.SH,20241108,3.35,3.47,3.29,3.35,3.3,0.05,1.5152,157774.0,53429.7
600387.SH,20241107,3.12,3.3,3.11,3.3,3.14,0.16,5.0955,77887.2,25396.591
600387.SH,20241106,3.1,3.17,3.08,3.14,3.11,0.03,0.9646,72532.97,22614.945
600387.SH,20241105,3.04,3.13,3.03,3.11,3.04,0.07,2.3026,68618.02,21225.044
600387.SH,20241104,2.92,3.05,2.92,3.04,2.94,0.1,3.4014,56399.01,17011.304
600387.SH,20241101,3.0,3.06,2.89,2.94,3.03,-0.09,-2.9703,76693.49,22831.946
600387.SH,20241031,3.02,3.08,2.96,3.03,3.09,-0.06,-1.9417,84769.33,25662.806
600387.SH,20241030,3.03,3.12,2.98,3.09,3.02,0.07,2.3179,62986.87,19292.856
600387.SH,20241029,3.14,3.17,2.97,3.02,3.12,-0.1,-3.2051,88730.5,27020.387
600387.SH,20241028,2.98,3.12,2.93,3.12,2.97,0.15,5.0505,102662.61,31228.515
600387.SH,20241025,3.02,3.02,2.96,2.97,2.99,-0.02,-0.6689,63310.1,18875.706
600387.SH,20241024,2.96,3.04,2.92,2.99,2.96,0.03,1.0135,84595.0,25219.109
600387.SH,20241023,2.88,3.0,2.84,2.96,2.88,0.08,2.7778,113298.41,33409.0
600387.SH,20241022,2.79,2.91,2.77,2.88,2.77,0.11,3.9711,71345.01,20326.666
600387.SH,20241021,2.69,2.8,2.69,2.77,2.71,0.06,2.214,55078.0,15203.295
600387.SH,20241018,2.64,2.73,2.64,2.71,2.66,0.05,1.8797,40299.23,10853.183
600387.SH,20241017,2.75,2.76,2.64,2.66,2.74,-0.08,-2.9197,50567.01,13725.983
